#,Name,Price,Description,Image
58,"Lexus GS 2 поколение Седан , 2001",6800$ ,"2001 177000 км Седан,
                                        вишневый,
                                        3 л.,
                                        правый руль,
                                        бензин,
                                        автомат,
                                        задний,",https://i.cars.kg/preview/r/8MsjyBT7nLOZ4hyfNBNM4w/1080x-/20230129/fc6fbeb23d8d4b54485897167b5062c5.jpg
59,"Kia Morning 2 поколение , 2016",9300$ ,"2016 98600 км бежевый,
                                        1 л.,
                                        левый руль,
                                        бензин,
                                        автомат,
                                        передний,",https://i.cars.kg/preview/r/o7eQiqz87yltmhcMKjiqqg/1080x-/20230129/2176308476e7e2c99bb0e3f48879903d.jpg
60,"Volkswagen Golf 3 поколение Хетчбэк 5-дв. , 1994",2901$ ,"1994 200000 км Хэтчбек,
                                        фиолетовый,
                                        1.6 л.,
                                        левый руль,
                                        бензин,
                                        механика,
                                        передний,",https://i.cars.kg/preview/r/0Z_H0wi8BhHciBEmax9Zhg/1080x-/20230129/0a29f368f19bbb870876fc8ff9cb4f76.jpg
61,"Chevrolet Captiva 1 поколение [2-й рестайлинг] Кроссовер , 2022",29000$ ,"2022 30 км Кроссовер,
                                        белый,
                                        1.5 л.,
                                        левый руль,
                                        бензин,
                                        автомат,
                                        передний,",https://i.cars.kg/preview/r/1X0GUNjDg9YAe81DqgwSNQ/1080x-/20230129/c30ddeabf9927cc7bcbd60c1f2bce524.jpg
62,"Hyundai Tucson 3 поколение Кроссовер , 2022",36500$ ,"2022 30 км Кроссовер,
                                        белый,
                                        2 л.,
                                        левый руль,
                                        бензин,
                                        автомат,
                                        передний,",https://i.cars.kg/preview/r/LRpk6xSuRdcb7h2mIHkK5Q/1080x-/20230129/e6918f5536dd9546c7c9c2f43db32504.jpg
63,"Kia Sportage 4 поколение Кроссовер , 2022",43000$ ,"2022 30 км Кроссовер,
                                        белый,
                                        1.6 л.,
                                        левый руль,
                                        бензин,
                                        автомат,
                                        передний,",https://i.cars.kg/preview/r/410U8nkbh8jk6PbN1jFvbA/1080x-/20230129/a16158085ef1bb884f31f5c5ebcb5519.jpg
64,"Toyota RAV4 2 поколение Кроссовер 5-дв. , 2001",7900$ ,"2001  Кроссовер,
                                        серебряный,
                                        1990 л.,
                                        левый руль,
                                        бензин,
                                        автомат,
                                        полный подключаемый,",https://i.cars.kg/preview/r/9NdCeheIyJ-T_XGMqvSL9g/1080x-/20230129/ec17f72193c5dca8b98b697db8dec8a2.jpg
65,"Toyota Ist 1 поколение Хетчбэк , 2003",67$ ,"2003  Хэтчбек,
                                        белый,
                                        1.3 л.,
                                        правый руль,
                                        бензин,
                                        автомат,
                                        передний,",https://i.cars.kg/preview/r/Y1G7kXqXF1HXoUwiSlO_Ow/1080x-/20230129/3611aa23cb24ac75f02543a17c742a5e.jpg
66,"Hyundai Santa Fe CM Кроссовер , 2008",12300$ ,"2008 110000 км Кроссовер,
                                        белый,
                                        2.2 л.,
                                        левый руль,
                                        дизель,
                                        автомат,
                                        передний,",https://i.cars.kg/preview/r/kU9WgJ3AL_mXyj-8PpQwjw/1080x-/20230128/ea34398dcd82226782d13b7eb4b16523.jpg
67,"Volkswagen Golf 3 поколение Хетчбэк 5-дв. , 1993",3800$ ,"1993 182 км Хэтчбек,
                                        баклажан,
                                        1.6 л.,
                                        левый руль,
                                        бензин,
                                        механика,
                                        передний,",No picture
68,"Mercedes-Benz CL-Класс C215 , 2020",8000$ ,"2020 2000 км 3.2 л.,
                                        левый руль,
                                        бензин,
                                        автомат,
                                        задний,",https://i.cars.kg/preview/r/sP_meEKEZueDUiq7RrGdGA/1080x-/20230128/1fa79f71e1f0a4ba6e4f6a7c9b45f24b.jpg
69,"Honda Inspire 4 поколение Седан , 2003",9$ ,"2003 175000 км Седан,
                                        белый,
                                        3.0 л.,
                                        правый руль,
                                        бензин,
                                        автомат,
                                        задний,",https://i.cars.kg/preview/r/btYyMyYPKyxKxvOLaHaJCw/1080x-/20230128/578110fe7220c77839672a358107b9bd.jpg
70,"Toyota Land Cruiser J200 [2-й рестайлинг] Внедорожник , 2021",130000$ ,"2021 1 км Внедорожник / Пикап,
                                        белый,
                                        3.5 л.,
                                        левый руль,
                                        бензин,
                                        автомат,
                                        постоянный полный,",https://i.cars.kg/preview/r/iKt_OPQuvdifELejkgqDaw/1080x-/20230128/46af747e06c454b34ebaf94a18260b88.jpg
